Text,Label
আমি প্রচন্ড খুশী। তোমার বই মাস্টারপিস হয়েছে অথবা কিছু্ হয়নি তার জন্য খুশী না। খুশী এজন্য যে তোমার এই বই আর বই লেখার জার্নি আমাকে প্রাউড করেছে ,joy
"প্রথমে কেমন জানি লাগতো আপনাকে,কিন্ত আজ আসলেই ভাল লাগলো, তাই সাবক্রাইব করলাম আপনার চ্যানেল, আশা করি আল্লাহ আপনাকে উত্তম পুরুস্কার দেবেন। ",joy
"মনের মধ্যে দেশ প্রেম থাকলে, ক্ষুদ্রতর স্বার্থের কথা বাদ দিয়ে বৃহত্তর স্বার্থের কথা চিন্তা করে। আগে দৌলতদিয়া-পাটুরিয়া সেতু করার কথা ভাবেন। ",sadness
রোজা রেখে এই রিভিউ দেখা খুবই কঠিন 🤔🤔🤔🤔 ,anger
দাম বেশি এখানে ,anger
লকাল বাস ভালো এটা থেকে ,sadness
কত অভিজানই তো চলে কিন্তু ওয়াসার পানির অভিজান করে না কেন ,sadness
বিয়ের মহল ছেড়ে তিনি বিস্রাম নিতে চলে যান (৬ নং ছবি )বিয়ের ৫ দিন পর মারা যান এই নব বধু ,anger
চাচাজি তো কেবল মাকে ধর্ষণ করেছেন ,sadness
সত্যিকার মানুষ তারাই ভাই ,joy
ভাই নিজের সফটওয়্যার গুলোর প্রচার সহজে করে ফেলছেন ভালোই ,joy
স্যার আমি আপনার এই নিয়ম এ স্কুল এ লিখেছিলাম কিন্তূ কেটে দিয়েছে। ,anger
খেলতে না পারলে এটাই বলে বাংলাদেশ ,anger
নিজ হাতে গড়া মোর কাঁচা ঘর ,joy
অসাধারণ 👌ধন্যবাদ অমি ভাই সহ পুরো ব্যাচেলর টিম কে ,joy
বাহ! গানটা তো মজার। 😂 ,joy
"রানা ভাইরাল হইছে বলে,,,,তার পড়ালেখার খরচ নিতে চাচ্ছো? ",sadness
আমি বুঝি । আমি যখন কলেজে দ্বিতীয় বর্ষে তখন তো আমি গরিব ছেলেদের আমি কলেজে থাকা ,anger
ভালোবাসার আরেক নাম প্রিয় নবী হযরত মুহাম্মদ ( সাঃ)❤ ,love
একদম বাজে নাটক জমজ ১১ বেশি অর্ধ্যেকেই ব্যাকরাউন্ড ইডিট করা ,sadness
গত কয়েক বছর ধরে আলবেসিলেস্তেদের হয়ে আছেন সেরা ফর্মে। মেসি হিগুয়েইনদের জন্য স্পেস তৈরী করতে যার জুড়ি নেই দলে। ৪। লাভেজ্জি - উইঙ্গার ,joy
মাদারচোদ পদ্মা সেতুই বানাইতে দম যায় আর আসে আবার পদ্মার চেয়েও বড় সেতু কি গাজা বিক্রি করে বানাবে?আদিখ্যেতা। 🖕🖕 ,sadness
"দেশে নির্বাচন ব্যাবস্থা উঠে গিয়ে সিলেকশন ব্যাবস্থার উদ্ভব হয়েছে। বুবু যাকে সিলেক্ট করবে সেই মেয়র, সেই সংসদ সদস্য। আল্লাহ আমাদের দেশকে হেফাজত করুন। ",sadness
